COUNT,X,Y,Zebra,Wildebeest,Elephant,Buffalo,Shoats,Cattle,Giraffe,Grant's Gazelles,Thomson's gazelles
1/2/1978,37.29062,-2.78021,1.4,0.0,0.0,0.0,86.4,84.3,0.0,0.0,0.0
1/2/1978,37.29069,-2.73499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,0.0
1/2/1978,37.29081,-2.64455,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
1/2/1978,37.29087,-2.59933,4.3,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.29099,-2.50889,23.6,0.7,0.0,0.0,0.0,0.0,0.0,9.3,4.3
1/2/1978,37.29105,-2.46367,0.0,0.0,0.0,0.0,0.0,118.6,0.0,0.0,0.0
1/2/1978,37.2911,-2.41845,12.9,0.0,0.0,0.0,7.8,0.0,0.0,6.4,0.0
1/2/1978,37.29116,-2.37323,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0
1/2/1978,37.29127,-2.28279,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
1/2/1978,37.29132,-2.23757,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0
1/2/1978,37.29137,-2.19235,0.0,0.0,0.0,0.0,5.0,55.7,27.1,10.7,0.0
1/2/1978,37.29142,-2.14713,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.7
1/2/1978,37.33553,-2.8255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0
1/2/1978,37.33559,-2.78028,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0
1/2/1978,37.33565,-2.73506,0.0,12.2,0.0,0.0,0.0,0.0,1.4,17.1,0.0
1/2/1978,37.33583,-2.59939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0
1/2/1978,37.33589,-2.55417,5.7,0.0,0.0,0.0,0.0,0.0,0.0,17.1,0.0
1/2/1978,37.33595,-2.50895,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.336,-2.46373,0.0,2.2,0.0,0.0,180.7,0.0,0.0,0.7,0.0
1/2/1978,37.33606,-2.41851,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.33617,-2.32806,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0
1/2/1978,37.33622,-2.28284,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0
1/2/1978,37.33632,-2.1924,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.33637,-2.14718,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1/2/1978,37.38044,-2.87079,0.0,0.0,0.0,0.0,15.0,10.7,0.0,0.0,0.0
1/2/1978,37.38056,-2.78034,5.7,0.0,0.0,0.0,97.8,0.0,0.0,0.7,0.7
1/2/1978,37.38068,-2.6899,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.2,0.0
1/2/1978,37.38091,-2.50901,0.0,0.0,0.0,0.0,244.3,32.2,0.0,0.0,0.0
1/2/1978,37.38096,-2.46378,0.0,0.0,0.0,0.0,19.3,40.7,0.0,0.0,0.0
1/2/1978,37.38117,-2.28289,0.0,0.0,0.0,0.0,172.2,0.0,4.3,0.0,0.0
1/2/1978,37.38127,-2.19245,0.0,0.0,0.0,0.0,59.3,0.0,2.2,0.0,0.0
1/2/1978,37.38131,-2.14722,0.0,0.0,0.0,0.0,35.0,65.7,0.0,0.0,0.0
1/2/1978,37.42541,-2.87085,0.0,0.0,0.0,0.0,229.3,77.1,0.0,0.0,0.0
1/2/1978,37.42547,-2.82562,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0
1/2/1978,37.42553,-2.7804,0.0,0.0,0.0,0.0,34.3,20.0,0.0,0.0,0.0
1/2/1978,37.42559,-2.73518,14.3,0.0,0.0,0.0,0.0,209.3,0.0,0.0,0.0
1/2/1978,37.42564,-2.68995,0.0,0.0,0.0,0.0,36.4,2.2,0.0,0.0,0.0
1/2/1978,37.4257,-2.64473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0
1/2/1978,37.42576,-2.59951,67.8,16.4,0.0,0.0,166.4,0.0,0.0,22.2,0.0
1/2/1978,37.42581,-2.55428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0
1/2/1978,37.42592,-2.46384,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
1/2/1978,37.42602,-2.37339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
1/2/1978,37.42612,-2.28294,0.0,0.0,0.0,0.0,115.7,6.4,0.0,0.0,0.0
1/2/1978,37.42617,-2.23772,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0
1/2/1978,37.42621,-2.1925,0.0,0.7,0.0,0.0,50.7,24.3,0.0,8.6,0.0
1/2/1978,37.42626,-2.14727,0.0,6.4,0.0,0.0,57.1,45.7,0.0,0.0,0.0
1/2/1978,37.42631,-2.10205,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
1/2/1978,37.47038,-2.87091,0.0,0.0,0.0,0.0,54.3,37.1,0.0,0.0,0.0
1/2/1978,37.47044,-2.82568,9.3,0.0,0.0,0.0,0.0,138.6,0.7,11.4,0.0
1/2/1978,37.4705,-2.78046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.7
1/2/1978,37.47055,-2.73524,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.47061,-2.69001,0.0,0.0,0.0,0.0,15.7,0.0,0.0,0.0,0.0
1/2/1978,37.47067,-2.64479,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.47072,-2.59956,13.6,11.4,0.0,0.0,173.6,109.3,0.0,6.4,0.0
1/2/1978,37.47077,-2.55434,0.0,0.0,0.0,0.0,3.6,57.8,0.0,0.0,0.0
1/2/1978,37.47083,-2.50911,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.47088,-2.46389,0.0,0.0,0.0,0.0,0.0,55.7,0.0,0.0,0.0
1/2/1978,37.47107,-2.28299,0.0,0.0,0.0,0.0,47.8,0.0,0.0,0.0,0.0
1/2/1978,37.47112,-2.23777,0.0,0.0,0.0,0.0,0.0,47.8,0.0,2.9,4.3
1/2/1978,37.47116,-2.19254,0.0,0.0,0.0,0.0,0.0,68.6,0.0,3.6,0.0
1/2/1978,37.47121,-2.14732,0.0,7.1,0.0,0.0,0.0,8.6,0.0,1.4,0.0
1/2/1978,37.47125,-2.10209,0.0,69.3,0.0,0.0,0.0,153.6,0.0,5.0,0.0
1/2/1978,37.51535,-2.87097,0.0,0.0,0.0,0.0,258.6,63.6,0.0,0.0,0.0
1/2/1978,37.51558,-2.69007,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
1/2/1978,37.51563,-2.64484,0.0,0.0,0.0,0.0,0.0,296.4,0.0,0.0,0.0
1/2/1978,37.51568,-2.59962,0.0,0.0,0.0,0.0,332.2,0.0,0.0,1.4,0.0
1/2/1978,37.51574,-2.55439,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0
1/2/1978,37.51584,-2.46394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
1/2/1978,37.51588,-2.41871,0.0,0.0,0.0,0.0,0.0,64.3,0.0,0.0,0.0
1/2/1978,37.51593,-2.37349,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0
1/2/1978,37.51598,-2.32826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,4.3
1/2/1978,37.51603,-2.28304,0.0,12.9,0.0,0.0,0.0,0.0,12.2,0.7,0.0
1/2/1978,37.51607,-2.23781,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.4
1/2/1978,37.51612,-2.19259,0.0,1.4,0.0,0.0,0.0,0.0,5.7,0.0,0.0
1/2/1978,37.51616,-2.14736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0
1/2/1978,37.56033,-2.87102,0.0,0.0,0.0,0.0,54.3,25.7,0.0,0.0,0.0
1/2/1978,37.56039,-2.8258,0.0,0.0,0.0,0.0,0.0,42.2,0.0,0.0,0.0
1/2/1978,37.56055,-2.69012,0.0,0.0,0.0,0.0,0.0,0.0,4.3,8.6,0.0
1/2/1978,37.5606,-2.64489,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0
1/2/1978,37.56065,-2.59967,0.0,0.0,0.0,0.0,91.4,22.9,0.0,0.0,0.0
1/2/1978,37.56075,-2.50921,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.4,5.0
1/2/1978,37.5608,-2.46399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
1/2/1978,37.56098,-2.28308,0.0,4.3,0.0,0.0,35.0,36.4,0.0,0.0,0.0
